18719101,62616504891233280
آپ,55254206302462116
آسیا,51106317433079213
آکنتور,44834847569322522
آکنتورح,57329318081089375
اخابر,22811176775480091
اخابرح,45768538238520265
افق,49502666250908008
اکالا,49869693814643443
البرز,70270965300262393
البرزح,12231544096052404
امید,18599703143458101
امیدح,45104299259467366
باختر,751415341879364
باخترح,46858597966426366
بالبر,62952165421099192
بالبرح,16471519272060905
بایکا,26711011601058186
بایکاح,5857871270392801
بترانس,46752599569017089
بترانسح,53697601723435147
بتک,19734078707717188
بتکح,8823734825807435
بجهرم,45118736321317244
برانسفو,64703398743024121
برکت,34557241988629814
برکتح,8981227815720204
بسویچ,47377315952751604
بسویچح,23484847504768205
بشهاب,69454539056549106
بشهابح,39023890840208765
بفجر,46178280540110577
بکاب,70219663893822560
بکابح,29195987083197059
بکام,22382156782768756
بکامح,65266756318187150
بموتو,22086876724551482
بموتوح,1931037287459558
بنیرو,20453828618330936
بنیروح,46629374720083542
بورس,60523145697836739
پارتا,29242941150825379
پارتاح,64910575313738889
پارس,6110133418282108
پارسان,23441366113375722
پارسانح,36319830972593153
پارسیان,9481703061634967
پارسیانح,50201903966895115
پاسا,63580313877463104
پاساح,32338211917133256
پاکشو,62786156501584862
پاکشوح,4208841225215712
پتایر,41935584690956944
پتایرح,7503566413749235
پترول,69143674941561637
پدرخش,24079409192818584
پدرخشح,46023027311928862
پدنا,58120226425289272
پدناح,13119207966484500
پرداخت,59607545337891226
پرداختح,34432997122108874
پردیس,15039949673085566
پردیسح,14819787164502995
پرشیا,10497143354080476
پسهند,10120557300120078
پسهندح,67337799462256399
پشاهن,38196133309450513
پشاهنح,71208440662682926
پکرمان,23214828924506640
پکرمانح,8676363345079392
پکویر,7235435095059069
پکویرح,41228676018429540
پکیان,5208723461432451
پکیانح,41189775395878190
پلاست,14419337127600051
پلاستح,37494506460682322
پلاسک,57722642338781674
پلاسکح,13778389952963406
پلوله,5938543336901420
پلولهح,45851925911348490
پیزد,3681415009616010
تاپیکو,22560050433388046
تاپیکوح,6491687805743913
تاصیکو,23293437377896568
تایرا,19298748452450329
تایراح,69858202392669780
